Booking_ID,Vehicle_No,Slot_ID,Zone,Entry_Time,Exit_Time,Fee
B001,OD30XY2728,P052,A,09:00,11:00,40
B002,OD33XY2359,P091,A,09:00,11:00,60
B003,OD32XY8996,P087,C,09:00,11:00,80
B004,OD49XY3764,P011,B,09:00,11:00,80
B005,OD31XY4842,P072,C,09:00,11:00,100
B006,OD15XY8545,P054,C,09:00,11:00,60
B007,OD92XY7100,P040,B,09:00,11:00,80
B008,OD78XY4881,P050,A,09:00,11:00,100
B009,OD13XY2964,P022,C,09:00,11:00,40
B010,OD25XY9740,P064,A,09:00,11:00,40
B011,OD80XY7779,P054,C,09:00,11:00,100
B012,OD56XY4642,P045,B,09:00,11:00,80
B013,OD17XY9339,P072,B,09:00,11:00,60
B014,OD88XY3027,P077,A,09:00,11:00,80
B015,OD87XY5544,P091,B,09:00,11:00,60
B016,OD87XY4691,P098,C,09:00,11:00,100
B017,OD67XY7416,P080,B,09:00,11:00,80
B018,OD77XY8245,P043,B,09:00,11:00,40
B019,OD30XY1191,P079,A,09:00,11:00,40
B020,OD92XY7836,P015,B,09:00,11:00,60
B021,OD70XY7435,P002,C,09:00,11:00,60
B022,OD41XY7428,P018,B,09:00,11:00,60
B023,OD32XY7798,P020,A,09:00,11:00,60
B024,OD60XY9673,P047,B,09:00,11:00,60
B025,OD99XY5658,P071,A,09:00,11:00,100
B026,OD87XY2699,P048,A,09:00,11:00,80
B027,OD33XY1034,P044,A,09:00,11:00,60
B028,OD14XY4917,P076,A,09:00,11:00,100
B029,OD17XY6432,P003,C,09:00,11:00,40
B030,OD50XY5861,P059,B,09:00,11:00,80
B031,OD16XY3831,P062,C,09:00,11:00,40
B032,OD86XY6892,P002,A,09:00,11:00,40
B033,OD91XY3229,P003,B,09:00,11:00,60
B034,OD18XY8071,P015,C,09:00,11:00,60
B035,OD82XY7962,P009,B,09:00,11:00,80
B036,OD33XY6892,P080,A,09:00,11:00,80
B037,OD57XY9630,P036,A,09:00,11:00,40
B038,OD30XY9996,P063,B,09:00,11:00,60
B039,OD65XY2072,P025,B,09:00,11:00,80
B040,OD39XY7223,P024,C,09:00,11:00,60
B041,OD11XY8997,P074,B,09:00,11:00,100
