Request_ID,Name,Vehicle_Number,Vehicle_Type,Category,Preferred_Zone,Purpose
R001,User1,OD40AB2420,EV,General,C,Hospital
R002,User2,OD38AB6834,Bike,VIP,B,Shopping
R003,User3,OD63AB5585,EV,Disabled,A,Shopping
R004,User4,OD43AB4722,Bike,General,C,College
R005,User5,OD41AB3077,EV,General,C,Office
R006,User6,OD51AB6189,Car,Disabled,A,College
R007,User7,OD57AB1917,EV,Disabled,A,Shopping
R008,User8,OD17AB9624,Car,General,A,Office
R009,User9,OD19AB1201,EV,Disabled,C,Shopping
R010,User10,OD37AB4381,Car,General,A,College
R011,User11,OD10AB9233,Bike,General,A,Shopping
R012,User12,OD58AB7815,Car,VIP,C,College
R013,User13,OD43AB3637,Car,Disabled,A,Shopping
R014,User14,OD45AB4372,Bike,VIP,A,Office
R015,User15,OD75AB2000,EV,Disabled,C,Office
R016,User16,OD99AB8399,Car,General,A,College
R017,User17,OD98AB9393,Car,General,B,College
R018,User18,OD44AB8938,EV,General,A,Office
R019,User19,OD35AB2825,EV,VIP,B,Office
R020,User20,OD78AB7625,Car,VIP,A,Hospital
R021,User21,OD53AB2361,Bike,VIP,C,Hospital
R022,User22,OD91AB3418,Bike,Disabled,B,College
R023,User23,OD45AB2859,Bike,General,A,Office
R024,User24,OD69AB1230,EV,VIP,B,College
R025,User25,OD96AB9447,Bike,Disabled,C,Hospital
R026,User26,OD19AB1811,Bike,VIP,B,Office
R027,User27,OD60AB3451,Bike,Disabled,A,Hospital
R028,User28,OD95AB9977,EV,General,B,Shopping
R029,User29,OD44AB4904,EV,General,C,Office
R030,User30,OD41AB7894,Bike,General,B,Hospital
R031,User31,OD39AB3755,Car,Disabled,C,Hospital
R032,User32,OD93AB1236,EV,VIP,A,Hospital
R033,User33,OD10AB9348,Car,General,B,College
R034,User34,OD32AB6089,Car,General,B,College
R035,User35,OD46AB3327,Car,Disabled,B,Office
R036,User36,OD81AB8849,Bike,General,C,Shopping
R037,User37,OD31AB4942,Car,General,A,Office
R038,User38,OD83AB2938,Car,General,B,College
R039,User39,OD27AB3896,Bike,Disabled,B,Hospital
R040,User40,OD29AB3289,EV,Disabled,A,Office
R041,User41,OD10AB1372,EV,Disabled,C,Hospital
R042,User42,OD32AB3461,Car,VIP,A,College
R043,User43,OD21AB8560,Car,Disabled,A,College
R044,User44,OD72AB1407,Car,Disabled,A,Office
R045,User45,OD30AB3222,EV,General,C,Office
R046,User46,OD33AB3264,EV,VIP,A,Hospital
R047,User47,OD13AB8896,Car,General,B,College
R048,User48,OD36AB3202,Bike,VIP,A,Shopping
R049,User49,OD50AB4547,Car,VIP,A,College
R050,User50,OD55AB2709,EV,General,A,Shopping
R051,User51,OD54AB3527,Car,Disabled,C,Hospital
R052,User52,OD94AB8161,EV,VIP,A,College
R053,User53,OD77AB5908,Car,Disabled,C,Office
R054,User54,OD81AB6428,Car,VIP,C,Hospital
R055,User55,OD18AB9912,Car,Disabled,B,College
R056,User56,OD85AB4653,EV,Disabled,C,Hospital
R057,User57,OD35AB5383,EV,General,C,College
R058,User58,OD73AB4912,Car,VIP,C,Shopping
R059,User59,OD74AB3882,Car,VIP,B,Hospital
R060,User60,OD64AB6095,EV,Disabled,B,Hospital
R061,User61,OD71AB2333,Bike,General,C,Shopping
R062,User62,OD58AB5452,EV,General,C,Shopping
R063,User63,OD40AB6253,EV,VIP,A,Office
R064,User64,OD62AB9856,Car,General,A,Hospital
R065,User65,OD59AB8845,Car,General,C,Hospital
R066,User66,OD96AB2893,Car,VIP,A,Hospital
R067,User67,OD13AB6846,Bike,VIP,B,College
R068,User68,OD33AB1909,Car,VIP,A,Shopping
R069,User69,OD51AB9431,Bike,VIP,A,Hospital
R070,User70,OD11AB3228,Bike,Disabled,A,Hospital
R071,User71,OD15AB8919,Car,General,C,Office
R072,User72,OD23AB3252,EV,Disabled,C,Shopping
R073,User73,OD40AB1378,Bike,General,A,Office
R074,User74,OD84AB7256,EV,General,B,College
R075,User75,OD97AB9413,Bike,General,C,Office
R076,User76,OD73AB7510,EV,Disabled,C,Office
R077,User77,OD62AB5955,Car,Disabled,A,Office
R078,User78,OD43AB1513,Car,Disabled,A,Office
R079,User79,OD51AB5211,Bike,VIP,C,Office
R080,User80,OD22AB5890,EV,General,C,Office
R081,User81,OD22AB5226,Bike,General,B,College
R082,User82,OD85AB3481,EV,General,B,Shopping
R083,User83,OD73AB3512,Bike,General,B,Office
R084,User84,OD86AB2961,EV,General,B,College
R085,User85,OD41AB4187,Car,General,B,Hospital
R086,User86,OD47AB1065,Bike,VIP,A,College
R087,User87,OD77AB7934,EV,VIP,C,Hospital
R088,User88,OD56AB4030,Car,VIP,C,College
R089,User89,OD36AB5540,EV,General,B,Office
R090,User90,OD81AB7821,EV,VIP,C,Hospital
R091,User91,OD41AB5021,Bike,VIP,C,College
R092,User92,OD51AB4792,Car,VIP,A,Hospital
R093,User93,OD56AB8607,EV,VIP,C,Shopping
R094,User94,OD50AB7327,EV,Disabled,C,Hospital
R095,User95,OD40AB2090,Car,VIP,B,Hospital
R096,User96,OD97AB9739,Bike,VIP,C,College
R097,User97,OD40AB8357,Bike,Disabled,B,Hospital
R098,User98,OD67AB6417,EV,Disabled,B,Office
R099,User99,OD52AB4281,Car,VIP,A,Shopping
R100,User100,OD67AB1583,Car,VIP,B,College
