Staff_ID,Name,Role,Shift,Status
ST001,Staff1,Security,Night,Busy
ST002,Staff2,Security,Evening,Available
ST003,Staff3,Security,Night,Available
ST004,Staff4,Security,Evening,Available
ST005,Staff5,Security,Morning,Available
ST006,Staff6,Security,Evening,Available
ST007,Staff7,Security,Morning,Available
ST008,Staff8,Security,Morning,Available
ST009,Staff9,Security,Night,Available
ST010,Staff10,Security,Night,Available
ST011,Staff11,Security,Morning,Available
ST012,Staff12,Security,Night,Available
ST013,Staff13,Security,Evening,Busy
ST014,Staff14,Security,Night,Available
ST015,Staff15,Security,Morning,Available
ST016,Staff16,Security,Morning,Available
ST017,Staff17,Security,Evening,Available
ST018,Staff18,Security,Night,Busy
ST019,Staff19,Security,Evening,Busy
ST020,Staff20,Security,Morning,Available
