Slot_ID,Zone,Floor,Vehicle_Type,EV_Charging,Reserved_For,Distance,Status
P001,A,1,Bike,No,Disabled,28,Occupied
P002,A,1,Car,No,EV,6,Free
P003,A,1,EV,Yes,General,33,Free
P004,A,1,Bike,No,EV,13,Free
P005,A,1,EV,Yes,VIP,31,Occupied
P006,A,1,Bike,No,Disabled,18,Free
P007,A,1,Car,No,General,21,Free
P008,A,1,Car,No,Disabled,6,Free
P009,A,1,Bike,No,General,22,Free
P010,A,1,Car,No,Disabled,36,Free
P011,A,1,Car,No,General,19,Free
P012,A,1,Car,No,VIP,7,Occupied
P013,A,1,EV,Yes,EV,22,Occupied
P014,A,1,Car,No,VIP,32,Free
P015,A,1,Bike,No,General,33,Free
P016,A,1,EV,Yes,VIP,37,Free
P017,A,1,Bike,No,General,25,Free
P018,A,1,Bike,No,VIP,10,Free
P019,A,1,Bike,No,General,33,Occupied
P020,A,1,Bike,No,VIP,38,Free
P021,A,2,EV,Yes,EV,14,Free
P022,A,2,EV,Yes,EV,9,Free
P023,A,2,EV,Yes,EV,16,Free
P024,A,2,Bike,No,Disabled,36,Free
P025,A,2,Car,No,Disabled,22,Free
P026,A,2,EV,Yes,General,40,Free
P027,A,2,Bike,No,General,23,Free
P028,A,2,Car,No,EV,9,Occupied
P029,A,2,Car,No,VIP,34,Free
P030,A,2,Car,No,General,30,Free
P031,A,2,Car,No,VIP,23,Free
P032,A,2,Car,No,Disabled,5,Free
P033,A,2,Bike,No,General,30,Free
P034,A,2,Bike,No,General,28,Free
P035,A,2,Car,No,VIP,26,Free
P036,A,2,Car,No,Disabled,29,Free
P037,A,2,EV,Yes,General,32,Free
P038,A,2,Bike,No,Disabled,31,Free
P039,A,2,Bike,No,EV,8,Occupied
P040,A,2,EV,Yes,Disabled,31,Free
P041,B,1,EV,Yes,Disabled,17,Free
P042,B,1,EV,Yes,General,32,Free
P043,B,1,EV,Yes,VIP,26,Occupied
P044,B,1,Bike,No,VIP,37,Occupied
P045,B,1,Bike,No,Disabled,7,Free
P046,B,1,Bike,No,EV,17,Free
P047,B,1,Car,No,VIP,28,Free
P048,B,1,Bike,No,VIP,18,Free
P049,B,1,EV,Yes,VIP,20,Free
P050,B,1,EV,Yes,General,29,Occupied
P051,B,1,EV,Yes,General,32,Free
P052,B,1,EV,Yes,General,40,Occupied
P053,B,1,Car,No,General,33,Free
P054,B,1,Car,No,EV,17,Occupied
P055,B,1,Car,No,EV,22,Free
P056,B,1,Car,No,Disabled,29,Free
P057,B,1,Bike,No,VIP,40,Occupied
P058,B,2,Car,No,General,33,Free
P059,B,2,Bike,No,EV,11,Free
P060,B,2,Car,No,EV,31,Free
P061,B,2,Car,No,General,5,Free
P062,B,2,Car,No,General,18,Occupied
P063,B,2,EV,Yes,Disabled,11,Occupied
P064,B,2,EV,Yes,VIP,22,Free
P065,B,2,EV,Yes,EV,33,Occupied
P066,B,2,EV,Yes,General,40,Free
P067,B,2,EV,Yes,EV,22,Free
P068,B,2,EV,Yes,Disabled,26,Free
P069,B,2,Bike,No,VIP,8,Free
P070,B,2,Car,No,VIP,16,Free
P071,B,2,EV,Yes,VIP,38,Free
P072,B,2,Car,No,General,16,Occupied
P073,B,2,Bike,No,General,11,Free
P074,B,2,Car,No,General,36,Free
P075,B,2,Car,No,EV,11,Free
P076,C,1,Car,No,General,39,Occupied
P077,C,1,EV,Yes,General,32,Free
P078,C,1,Car,No,Disabled,7,Free
P079,C,1,Car,No,General,36,Free
P080,C,1,EV,Yes,EV,34,Occupied
P081,C,1,EV,Yes,Disabled,7,Occupied
P082,C,1,EV,Yes,Disabled,37,Free
P083,C,1,Car,No,Disabled,12,Free
P084,C,1,Car,No,VIP,11,Free
P085,C,1,Bike,No,Disabled,21,Free
P086,C,1,EV,Yes,General,12,Free
P087,C,1,Bike,No,Disabled,34,Free
P088,C,2,EV,Yes,EV,25,Occupied
P089,C,2,EV,Yes,VIP,36,Occupied
P090,C,2,EV,Yes,Disabled,6,Free
P091,C,2,Car,No,General,20,Free
P092,C,2,Car,No,General,6,Free
P093,C,2,Car,No,EV,36,Occupied
P094,C,2,Bike,No,Disabled,23,Free
P095,C,2,EV,Yes,Disabled,40,Occupied
P096,C,2,EV,Yes,EV,30,Free
P097,C,2,Car,No,EV,18,Free
P098,C,2,EV,Yes,General,16,Free
P099,C,2,Bike,No,EV,21,Free
P100,C,2,Car,No,VIP,25,Free
